surface	locale	viewport	document_width	clipped_controls	observed_copy
about-api-keys	en	600x760	600/600	0	Version 1.6.11; API KEYS
about-api-keys	zh	600x760	600/600	0	版本 1.6.11; API 密钥
about-api-keys	ko	600x760	600/600	0	버전 1.6.11; API 키
about-api-keys	ja	600x760	600/600	0	バージョン 1.6.11; API キー
about-api-keys	es	600x760	600/600	0	Versión 1.6.11; CLAVES DE API
chat	ko	600x760	600/600	0	시작; 채팅; 서버; 말하기
create-session	ko	600x760	600/600	0	세션 생성; 로컬 모델; 원격 엔드포인트
remote-endpoint	ko	600x760	600/600	0	API 기본 URL; 모델 이름; 연결
server-settings-drawer	ko	600x760	600/600	0	서버 설정; 저장; 재설정; 닫기
code	en	600x760	600/600	0	Code; Coming Soon
code	zh	600x760	600/600	0	代码; 即将推出
code	ko	600x760	600/600	0	코드; 출시 예정
code	ja	600x760	600/600	0	コード; 近日公開
code	es	600x760	600/600	0	Código; Próximamente
remote-picker	ja	600x760	600/600	0	リモートエンドポイントに接続; リモート接続; 接続
